status,global_index,method,family,scheme,description,parameter_name,parameter_value,variant_index,family_size,selected_steps,mean_full_acc,mean_in_acc,mean_out_acc,support_loss,validation_loss,art_painting_full_acc,mean_full_acc,mean_in_acc,mean_out_acc,test_env0_in_acc,test_env0_out_acc
success,38,stochastic_dominance_selector,stochastic_dominance_selector,stochastic_dominance_selector__order_slack_second_0p0025,Distributional frontier selector based on empirical stochastic dominance instead of mean-loss ranking.,order_slack,second_0.0025,2,2,"[250, 7600]",0.88134765625,0.8798047589993899,0.8875305623471883,0.13178257669660018,0.11071959764015775,0.88134765625,0.88134765625,0.8798047589993899,0.8875305623471883,0.8798047589993899,0.8875305623471883
success,2,control,control_fixed_graphdiff24_uniform,control_fixed_graphdiff24_uniform,"Uniform soup over the known 24-step graph-diff family, used only as a reference control.",control,fixed_graphdiff24_uniform,0,24,"[250, 350, 450, 600, 650, 850, 900, 950, 1000, 1250, 1300, 1550, 2050, 2100, 3000, 3400, 4100, 4550, 5100, 6650, 6800, 7450, 8000, 13950]",0.87841796875,0.8767541183648566,0.8850855745721271,0.1386804998719027,0.07123176772303942,0.87841796875,0.87841796875,0.8767541183648566,0.8850855745721271,0.8767541183648566,0.8850855745721271
success,50,topological_persistence_selector,topological_persistence_selector,topological_persistence_selector__feature_persistence_prob_0p8,"Persistent-component selector over checkpoint geometry, using long-lived branches as family representatives.",feature_persistence,prob_0.8,3,60,"[50, 100, 150, 200, 300, 650, 850, 1050, 1100, 1300, 1350, 1400, 1600, 1650, 2550, 2600, 3750, 3900, 4250, 4500, 4550, 5700, 5800, 6050, 6100, 6200, 6250, 6550, 6750, 7000, 7300, 7600, 8950, 9050, 9100, 9350, 10000, 10050, 10100, 10500, 10550, 10650, 10750, 10800, 10950, 11000, 11050, 11550, 11800, 12000, 12150, 12200, 12500, 12600, 12700, 12800, 12950, 13300, 14850, 14999]",0.87548828125,0.8706528370957901,0.8948655256723717,0.1147417832639791,0.07099383174903504,0.87548828125,0.87548828125,0.8706528370957901,0.8948655256723717,0.8706528370957901,0.8948655256723717
success,6,dpp_repulsive_subset,dpp_repulsive_subset,dpp_repulsive_subset__feature_gainfloor_prob_0p02,Greedy DPP MAP family with explicit subset repulsion and quality-weighted kernels.,feature_gainfloor,prob_0.02,1,169,"[100, 150, 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 950, 1000, 1050, 1150, 1200, 1250, 1350, 1450, 1550, 1600, 1650, 1700, 1750, 1850, 1900, 1950, 2000, 2050, 2100, 2250, 2300, 2400, 2650, 2700, 2800, 2850, 2900, 3200, 3250, 3300, 3400, 3450, 3600, 3800, 4000, 4050, 4100, 4150, 4200, 4400, 4600, 4650, 4800, 4850, 4900, 5050, 5100, 5150, 5250, 5300, 5400, 5450, 5500, 5550, 5600, 5800, 5850, 5950, 6000, 6350, 6550, 6600, 6650, 6800, 6850, 6900, 6950, 7100, 7150, 7200, 7250, 7350, 7450, 7500, 7550, 7600, 7650, 7700, 7750, 7800, 7850, 7950, 8050, 8150, 8250, 8300, 8350, 8400, 8450, 8500, 8550, 8600, 8650, 8700, 8750, 8800, 8900, 9150, 9200, 9250, 9300, 9450, 9550, 9600, 9650, 9700, 9850, 9900, 10150, 10200, 10250, 10300, 10550, 11150, 11200, 11250, 11300, 11350, 11400, 11450, 11650, 11750, 11850, 11900, 12000, 12350, 12450, 12550, 12750, 12800, 13000, 13050, 13150, 13250, 13300, 13350, 13400, 13600, 13700, 13900, 13950, 14000, 14050, 14100, 14150, 14300, 14350, 14400, 14450, 14500, 14600, 14800]",0.87548828125,0.87248322147651,0.8875305623471883,0.11691237745503119,0.07065533186082079,0.87548828125,0.87548828125,0.87248322147651,0.8875305623471883,0.87248322147651,0.8875305623471883
success,46,topological_persistence_selector,topological_persistence_selector,topological_persistence_selector__feature_persistence_prob_0p6,"Persistent-component selector over checkpoint geometry, using long-lived branches as family representatives.",feature_persistence,prob_0.6,1,120,"[50, 100, 150, 200, 250, 300, 400, 550, 650, 700, 750, 850, 1000, 1050, 1100, 1300, 1350, 1400, 1600, 1650, 1800, 2050, 2200, 2300, 2350, 2500, 2550, 2600, 3100, 3250, 3600, 3700, 3750, 3900, 4000, 4250, 4300, 4500, 4550, 5000, 5050, 5350, 5600, 5650, 5700, 5800, 5850, 6050, 6100, 6200, 6250, 6350, 6400, 6450, 6550, 6750, 6850, 7000, 7150, 7300, 7450, 7600, 7950, 8050, 8400, 8800, 8900, 8950, 9050, 9100, 9150, 9350, 10000, 10050, 10100, 10400, 10500, 10550, 10650, 10750, 10800, 10850, 10900, 10950, 11000, 11050, 11100, 11250, 11450, 11500, 11550, 11600, 11650, 11800, 11900, 12000, 12100, 12150, 12200, 12400, 12500, 12600, 12700, 12800, 12950, 13000, 13050, 13250, 13300, 13350, 13400, 13450, 13500, 13600, 13800, 13850, 14600, 14850, 14900, 14999]",0.87451171875,0.8694325808419768,0.8948655256723717,0.1571597899943188,0.059842909118864966,0.87451171875,0.87451171875,0.8694325808419768,0.8948655256723717,0.8694325808419768,0.8948655256723717
success,10,dpp_repulsive_subset,dpp_repulsive_subset,dpp_repulsive_subset__feature_gainfloor_prob_0p1,Greedy DPP MAP family with explicit subset repulsion and quality-weighted kernels.,feature_gainfloor,prob_0.1,3,69,"[100, 150, 200, 250, 300, 350, 450, 500, 600, 650, 700, 750, 950, 1000, 1150, 1250, 1550, 1700, 1850, 2100, 2400, 2650, 2700, 2800, 3200, 4100, 4150, 4200, 4600, 4650, 4800, 5050, 5150, 5250, 5400, 5450, 5500, 5550, 5600, 6550, 6850, 7350, 7450, 7500, 7550, 7600, 7650, 8350, 8450, 8500, 8550, 8600, 9200, 9450, 9550, 9650, 9900, 10250, 11150, 11300, 11400, 11850, 13050, 13250, 13700, 13900, 14100, 14300, 14400]",0.8740234375,0.8706528370957901,0.8875305623471883,0.12349712841537999,0.05964826635953759,0.8740234375,0.8740234375,0.8706528370957901,0.8875305623471883,0.8706528370957901,0.8875305623471883
success,30,prequential_regret_selector,prequential_regret_selector,prequential_regret_selector__blocks_penalty_32_0p005,Dynamic-programming selector that keeps the checkpoint specialists actually used by the minimum-regret switching path.,blocks_penalty,32_0.005,3,24,"[300, 1150, 4600, 5200, 5550, 6050, 6700, 7900, 7950, 8200, 10150, 10450, 10650, 10950, 11250, 11900, 12300, 12500, 12850, 13150, 13550, 13950, 14450, 14900]",0.86865234375,0.8645515558267236,0.8850855745721271,0.1341937986493,0.09009003251039681,0.86865234375,0.86865234375,0.8645515558267236,0.8850855745721271,0.8645515558267236,0.8850855745721271
success,26,prequential_regret_selector,prequential_regret_selector,prequential_regret_selector__blocks_penalty_32_0p001,Dynamic-programming selector that keeps the checkpoint specialists actually used by the minimum-regret switching path.,blocks_penalty,32_0.001,1,28,"[300, 1150, 4600, 5200, 5250, 5550, 6050, 6550, 6700, 7450, 7800, 7900, 7950, 8200, 8400, 10150, 10250, 10450, 10950, 11250, 11900, 12350, 12500, 12550, 12850, 13550, 13950, 14450]",0.865234375,0.8608907870652837,0.882640586797066,0.14800547652908883,0.08022441147990964,0.865234375,0.865234375,0.8608907870652837,0.882640586797066,0.8608907870652837,0.882640586797066
success,34,stochastic_dominance_selector,stochastic_dominance_selector,stochastic_dominance_selector__order_slack_second_0p0,Distributional frontier selector based on empirical stochastic dominance instead of mean-loss ranking.,order_slack,second_0.0,0,49,"[250, 600, 750, 1250, 2700, 5400, 5500, 5600, 6550, 7500, 7550, 7600, 7650, 7950, 8150, 8350, 8450, 8500, 8550, 8600, 8700, 8750, 9200, 9850, 9900, 9950, 10250, 11150, 11300, 11900, 12250, 12550, 13050, 13150, 13700, 13900, 13950, 14000, 14100, 14150, 14200, 14250, 14300, 14350, 14400, 14450, 14500, 14550, 14600]",0.8623046875,0.860280658938377,0.8704156479217604,0.12920836623570303,0.07255823749015812,0.8623046875,0.8623046875,0.860280658938377,0.8704156479217604,0.860280658938377,0.8704156479217604
success,14,minimum_description_length,minimum_description_length,minimum_description_length__feature_beta_prob_0p02,Greedy MDL family that adds checkpoints only when fit-plus-code-length improves.,feature_beta,prob_0.02,0,1,[7600],0.826171875,0.8212324588163514,0.8459657701711492,0.16219229038895303,0.1525552317875774,0.826171875,0.826171875,0.8212324588163514,0.8459657701711492,0.8212324588163514,0.8459657701711492
